Timestamp,age,nationality,isVegetarian,foodType,priceRange,isTakeAway,frequency,isIndividual,isLikeDriveThrough,time,paymentMethod
8/3/2019 18:53:52,2,1,2,"1,2,4",2,1,3,2,1,4,2
8/3/2019 19:25:20,2,1,2,1,4,2,1,1,2,4,1
8/3/2019 19:44:36,2,1,2,1,3,2,1,1,1,4,2
8/3/2019 20:48:35,1,1,2,"1,2,3,4,5",4,2,2,1,1,4,2
8/4/2019 10:20:34,2,1,2,1,4,1,2,2,2,4,1
8/4/2019 11:22:16,1,1,2,2,1,1,1,2,1,3,1
8/4/2019 11:30:45,1,1,2,1,2,1,2,1,1,4,1
8/4/2019 15:23:34,1,1,2,4,1,1,1,3,2,4,1
8/4/2019 15:45:32,2,1,2,1,4,2,2,2,1,4,1
8/4/2019 17:32:09,2,1,2,"1,2,3,4,5",2,1,2,2,1,2,1
8/4/2019 20:47:48,3,1,2,"1,2,4",4,1,3,2,1,2,1
8/4/2019 20:48:47,3,2,1,"1,2",3,2,2,1,1,2,1
8/4/2019 20:49:37,3,3,2,"2,3,4,5",3,1,3,2,1,4,2
8/4/2019 20:50:34,3,3,2,"2,3,4,5",3,1,3,3,1,2,2
8/4/2019 20:54:33,3,3,2,"1,2,3,4,5",3,1,3,3,1,4,2
8/4/2019 20:55:38,3,4,2,"1,3,4,5",4,1,3,2,1,4,2
8/4/2019 20:56:21,2,4,2,"1,4,5",4,1,3,3,1,2,2
8/4/2019 21:00:45,3,1,2,"1,2,4",3,2,2,1,1,4,1
8/4/2019 21:03:24,3,3,2,"2,4,5",3,1,2,2,1,2,2
8/4/2019 21:04:52,2,2,1,"1,2",2,1,2,2,2,2,1
8/4/2019 21:06:01,4,1,2,"1,2,4",2,2,1,1,1,4,1
8/4/2019 21:10:37,3,4,2,"1,2,4,5",4,1,4,2,1,4,2
8/4/2019 21:13:17,4,1,2,"1,2,4",2,2,2,1,1,4,1
8/4/2019 21:13:55,4,1,2,"1,2,4",2,2,2,1,2,4,1
8/4/2019 21:16:09,4,1,2,"1,2,4",2,2,2,2,1,4,1
8/4/2019 21:16:49,2,3,2,"2,3,4",3,1,3,2,1,2,1
8/4/2019 21:20:29,2,2,1,"1,2",2,1,2,2,2,2,1
8/4/2019 21:22:27,3,4,2,"1,3,4,5",4,1,3,2,1,4,2
8/4/2019 21:23:05,4,1,2,"1,2,4",2,2,2,2,1,4,1
8/4/2019 21:25:33,1,1,2,"1,3,4,5",2,1,2,3,2,2,1
8/4/2019 21:27:16,1,1,2,"1,4,5",2,1,2,3,2,2,1
8/4/2019 21:28:11,3,3,2,"2,4,5",3,1,2,2,1,2,1
8/4/2019 21:30:44,4,1,2,"1,2",2,1,2,3,2,2,1
8/4/2019 21:32:46,4,1,2,"2,4",3,2,2,3,2,4,1
8/4/2019 21:33:35,3,2,1,"1,2",3,1,2,2,2,2,1
8/4/2019 21:35:29,3,2,2,"1,2,4",2,1,2,2,2,2,1
8/4/2019 21:36:09,4,2,1,"1,2",3,2,2,1,1,2,2
8/4/2019 21:41:15,3,1,2,"1,2,4,5",3,1,3,3,1,4,2
8/4/2019 21:42:56,4,1,2,"2,4,5",3,1,2,2,2,2,1
8/4/2019 21:43:55,2,2,1,"1,2",3,1,2,1,1,1,2
8/4/2019 21:45:51,2,2,1,"1,2",2,1,2,2,2,1,1
8/4/2019 21:48:27,4,1,2,"1,2,4",3,2,2,1,2,2,2
8/4/2019 21:51:19,1,1,2,"2,3,4,5",3,1,3,3,2,2,1
8/4/2019 21:57:52,2,1,2,1,3,1,4,2,2,2,1
8/4/2019 21:59:17,3,1,2,"2,4,5",4,1,3,2,1,4,2
8/4/2019 21:59:48,3,3,2,"1,2,4",4,1,3,2,1,2,2
8/4/2019 22:00:18,1,1,2,"2,3,4,5",3,1,2,2,2,2,1
8/4/2019 22:08:20,2,1,2,1,2,1,1,3,1,4,2
8/4/2019 22:28:24,3,1,2,"1,2,4",3,1,3,2,1,2,2
8/4/2019 22:29:20,3,2,1,"1,2",3,2,2,1,1,4,1
8/5/2019 4:40:10,2,1,2,1,2,1,1,4,1,2,1
8/5/2019 10:55:09,2,1,2,"1,2,3,4,5",3,2,2,1,1,4,2
8/5/2019 16:50:17,4,1,1,1,2,2,2,1,2,2,1
8/7/2019 12:41:03,2,1,2,1,3,2,1,2,1,2,2
8/8/2019 9:27:52,2,3,2,1,1,1,1,1,2,1,1
8/8/2019 20:33:40,2,1,2,1,2,2,1,2,1,2,1
8/11/2019 10:46:56,1,1,2,4,2,1,1,1,1,4,2
8/11/2019 10:53:16,2,1,2,"1,2,4",2,1,1,2,1,4,1
8/11/2019 21:41:49,1,1,2,1,3,2,2,2,1,2,1
8/12/2019 11:03:22,1,1,2,4,2,1,1,1,1,4,2
8/17/2019 20:37:55,2,1,2,"3,5",2,2,3,1,1,1,1
8/19/2019 19:56:25,3,1,2,"1,2,4,5",3,1,3,1,1,2,1
8/19/2019 20:00:51,3,1,2,"1,2,4,5",3,1,3,1,1,2,2
8/20/2019 11:22:16,2,1,1,1,2,1,2,2,2,2,1
